NumIters	Seconds	LearningRate	loss
167800.0	61696.277982	0.001	0.480501
167820.0	61703.801218	0.001	0.723506
167840.0	61711.227205	0.001	0.435063
167860.0	61718.534149	0.001	0.430033
167880.0	61726.391425	0.001	0.761935
167900.0	61733.603634	0.001	0.49522
167920.0	61741.115134	0.001	0.82409
167940.0	61748.494827	0.001	0.472388
167960.0	61755.727818	0.001	0.618113
167980.0	61763.080242	0.001	0.246804
168000.0	61770.486976	0.001	0.230863
168020.0	61777.820514	0.001	0.608907
168040.0	61785.048429	0.001	0.210032
168060.0	61792.388072	0.001	0.427644
168080.0	61799.790863	0.001	0.274566
168100.0	61807.136248	0.001	0.460738
168120.0	61814.415359	0.001	0.413057
168140.0	61821.764288	0.001	0.255357
168160.0	61829.184078	0.001	0.332211
168180.0	61836.864727	0.001	0.151083
168200.0	61844.245266	0.001	0.553653
168220.0	61851.544132	0.001	0.413719
168240.0	61858.773514	0.001	0.217323
168260.0	61866.159608	0.001	0.0998132
168280.0	61873.633664	0.001	0.316028
168300.0	61880.938666	0.001	0.361362
168320.0	61888.427436	0.001	0.187899
168340.0	61895.783402	0.001	0.0731977
168360.0	61902.980152	0.001	0.546925
168380.0	61910.268918	0.001	0.378071
168400.0	61917.615615	0.001	0.490146
168420.0	61924.906914	0.001	0.464077
168440.0	61932.150485	0.001	0.331438
168460.0	61939.614051	0.001	0.24823
168480.0	61946.980232	0.001	0.195518
168500.0	61954.454355	0.001	0.717793
168520.0	61961.904119	0.001	0.862802
168540.0	61969.30513	0.001	0.388358
168560.0	61976.681939	0.001	0.339229
168580.0	61984.056233	0.001	0.133748
168600.0	61991.464532	0.001	0.519702
168620.0	61998.875692	0.001	1.05957
168640.0	62006.382817	0.001	0.30457
168660.0	62013.783334	0.001	0.43997
168680.0	62021.106411	0.001	0.577971
168700.0	62028.331727	0.001	0.454175
168720.0	62035.684592	0.001	0.902851
168740.0	62043.225953	0.001	0.962325
168760.0	62050.616108	0.001	0.172183
168780.0	62057.831023	0.001	0.0860929
168800.0	62065.155726	0.001	0.381855
168820.0	62072.500222	0.001	0.370575
168840.0	62079.923832	0.001	0.162221
168860.0	62087.277976	0.001	0.252679
168880.0	62094.655051	0.001	0.44472
168900.0	62102.115757	0.001	0.652265
168920.0	62109.707018	0.001	0.180234
168940.0	62117.169142	0.001	0.0792263
168960.0	62124.378669	0.001	0.620249
168980.0	62131.619141	0.001	0.0916358
169000.0	62138.996534	0.001	0.17631
169020.0	62146.306921	0.001	0.304901
169040.0	62153.513542	0.001	0.118027
169060.0	62160.782784	0.001	0.314377
169080.0	62168.055016	0.001	0.424421
169100.0	62175.605093	0.001	0.191768
169120.0	62182.997939	0.001	0.194385
169140.0	62190.330979	0.001	0.614352
169160.0	62197.756278	0.001	0.249596
169180.0	62205.195515	0.001	0.356058
169200.0	62212.563112	0.001	0.131952
169220.0	62219.921291	0.001	0.161018
169240.0	62227.215289	0.001	0.414182
169260.0	62234.618566	0.001	0.0685103
169280.0	62242.095535	0.001	0.681793
169300.0	62249.330672	0.001	0.350712
169320.0	62256.731154	0.001	0.765249
169340.0	62264.498622	0.001	0.816671
169360.0	62271.713987	0.001	0.581236
169380.0	62279.065256	0.001	0.32397
169400.0	62286.48957	0.001	0.531424
169420.0	62293.755417	0.001	0.111645
169440.0	62300.949843	0.001	0.609347
169460.0	62308.33523	0.001	0.293116
169480.0	62315.657977	0.001	0.29398
169500.0	62322.888881	0.001	0.222379
169520.0	62330.172	0.001	0.459143
169540.0	62337.592293	0.001	0.370919
169560.0	62344.884562	0.001	0.675866
169580.0	62352.268168	0.001	0.413685
169600.0	62359.67541	0.001	0.533441
169620.0	62367.148931	0.001	0.627918
169640.0	62374.418213	0.001	0.386914
169660.0	62381.861073	0.001	0.4377
169680.0	62389.211238	0.001	0.548966
169700.0	62396.629964	0.001	0.159524
169720.0	62403.894183	0.001	0.395165
169740.0	62411.10458	0.001	0.295162
169760.0	62418.334715	0.001	0.503551
169780.0	62425.737681	0.001	0.50691
169800.0	62433.119072	0.001	0.771858
169820.0	62440.37748	0.001	0.215254
169840.0	62447.758126	0.001	0.531374
169860.0	62455.135334	0.001	0.456464
169880.0	62462.730477	0.001	0.0449748
169900.0	62470.017204	0.001	0.190657
169920.0	62477.404376	0.001	0.440886
169940.0	62484.797047	0.001	0.294597
169960.0	62491.949704	0.001	0.461259
169980.0	62499.233812	0.001	0.12489
170000.0	62507.121719	0.001	0.230263
170020.0	62514.447948	0.001	0.482105
170040.0	62521.878026	0.001	0.511899
170060.0	62529.089442	0.001	0.34012
170080.0	62536.503681	0.001	0.635749
170100.0	62543.839486	0.001	0.183533
170120.0	62551.169397	0.001	0.292101
170140.0	62558.554963	0.001	0.115625
170160.0	62565.854863	0.001	0.27268
170180.0	62573.253034	0.001	0.708243
170200.0	62580.59901	0.001	0.567002
170220.0	62587.876722	0.001	0.694663
170240.0	62595.494822	0.001	0.395295
